获奖年份,获奖类别（英文）,获奖类别（中文）,奖项,全名,出生日期,出生城市,出生国家,所属组织,逝世日期,逝世地点城市,逝世地点国家
1901,Medicine,医药,诺贝尔生理学或医学奖 1901 年,Emil Adolf von Behring,1854-03-15,汉斯多夫（劳伊斯）,普鲁士（波兰）,马尔堡大学,1917-03-31,马尔堡,德国
1901,Peace,和平,1901 年诺贝尔和平奖,Jean Henry Dunant,1828-05-08,日内瓦,瑞士,,1910-10-30,石楠,瑞士
1901,Peace,和平,1901 年诺贝尔和平奖,Frédéric Passy,1822-05-20,巴黎,法国,,1912-06-12,巴黎,法国
1901,Physics,物理,1901 年诺贝尔物理学奖,Wilhelm Conrad Röntgen,1845-03-27,伦纳普（雷姆沙伊德）,普鲁士,慕尼黑大学,1923-02-10,慕尼黑,德国
1902,Chemistry,化学,1902 年诺贝尔化学奖,Hermann Emil Fischer,1852-10-09,Euskirchen,普鲁士,柏林大学,1919-07-15,柏林,德国
1902,Literature,文学,1902 年诺贝尔文学奖,Christian Matthias Theodor Mommsen,1817-11-30,加丁,石勒苏益格（德国）,,1903-11-01,夏洛滕堡,德国
1902,Medicine,医药,诺贝尔生理学或医学奖 1902 年,Ronald Ross,1857-05-13,阿尔莫拉,印度,大学学院,1932-09-16,普特尼希斯,英国
1902,Peace,和平,1902 年诺贝尔和平奖,Élie Ducommun,1833-02-19,日内瓦,瑞士,,1906-12-07,伯尔尼,瑞士
1902,Peace,和平,1902 年诺贝尔和平奖,Charles Albert Gobat,1843-05-21,特拉梅兰,瑞士,,1914-03-16,伯尔尼,瑞士
1902,Physics,物理,1902 年诺贝尔物理学奖,Hendrik Antoon Lorentz,1853-07-18,阿纳姆,荷兰,莱顿大学,1928-02-04,,荷兰
1902,Physics,物理,1902 年诺贝尔物理学奖,Pieter Zeeman,1865-05-25,Zonnemaire,荷兰,阿姆斯特丹大学,1943-10-09,阿姆斯特丹,荷兰
1903,Chemistry,化学,1903 年诺贝尔化学奖,Svante August Arrhenius,1859-02-19,维克,瑞典,斯德哥尔摩大学,1927-10-02,斯德哥尔摩,瑞典
1903,Literature,文学,1903 年诺贝尔文学奖,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,挪威,,1910-04-26,巴黎,法国
1903,Medicine,医药,诺贝尔生理学或医学奖 1903 年,Niels Ryberg Finsen,1860-12-15,索尔沙文,法罗群岛（丹麦）,芬森医用光源研究所,1904-09-24,哥本哈根,丹麦
1903,Peace,和平,1903 年诺贝尔和平奖,William Randal Cremer,1828-03-18,法雷厄姆,英国,,1908-07-22,伦敦,英国
1903,Physics,物理,1903 年诺贝尔物理学奖,Antoine Henri Becquerel,1852-12-15,巴黎,法国,理工学院,1908-08-25,,法国
1903,Physics,物理,1903 年诺贝尔物理学奖,Pierre Curie,1859-05-15,巴黎,法国,市立工业物理和化学学校（École municipale de physique et de chimie industrielles）,1906-04-19,巴黎,法国
1903,Physics,物理,1903 年诺贝尔物理学奖,"Marie Curie, née Sklodowska",1867-11-07,华沙,俄罗斯帝国（波兰）,,1934-07-04,萨朗什,法国
1904,Chemistry,化学,1904 年诺贝尔化学奖,Sir William Ramsay,1852-10-02,格拉斯哥,苏格兰,大学学院,1916-07-23,高威科姆,英国
1904,Literature,文学,1904 年诺贝尔文学奖,Frédéric Mistral,1830-09-08,马兰,法国,,1914-03-25,马兰,法国
1904,Literature,文学,1904 年诺贝尔文学奖,José Echegaray y Eizaguirre,1832-04-19,马德里,西班牙,,1916-09-04,马德里,西班牙
1904,Medicine,医药,诺贝尔生理学或医学奖 1904 年,Ivan Petrovich Pavlov,1849-09-14,梁赞,俄罗斯,军事医学院,1936-02-27,列宁格勒,俄罗斯
1904,Peace,和平,1904 年诺贝尔和平奖,Institut de droit international (Institute of International Law),,,,,,,
1904,Physics,物理,1904 年诺贝尔物理学奖,Lord Rayleigh (John William Strutt),1842-11-12,埃塞克斯郡马尔敦朗福德格鲁夫,英国,英国皇家学会,1919-06-30,,英国
1905,Chemistry,化学,1905 年诺贝尔化学奖,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,柏林,普鲁士,慕尼黑大学,1917-08-20,斯塔恩贝格,德国
1905,Literature,文学,1905 年诺贝尔文学奖,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,波兰,,1916-11-15,沃韦,瑞士
1905,Medicine,医药,诺贝尔生理学或医学奖 1905 年,Robert Koch,1843-12-11,克劳斯塔尔（克劳斯塔尔-泽勒费尔德）,德国,传染病研究所,1910-05-27,巴登-巴登,德国
1905,Peace,和平,1905 年诺贝尔和平奖,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,布拉格,奥地利帝国（捷克共和国）,,1914-06-21,维也纳,奥地利
1905,Physics,物理,1905 年诺贝尔物理学奖,Philipp Eduard Anton von Lenard,1862-06-07,普雷斯堡（布拉迪斯拉发）,匈牙利（斯洛伐克）,基尔大学,1947-05-20,梅塞尔豪森,德国
1906,Chemistry,化学,1906 年诺贝尔化学奖,Henri Moissan,1852-09-28,巴黎,法国,索邦大学,1907-02-20,巴黎,法国
1906,Literature,文学,1906 年诺贝尔文学奖,Giosuè Carducci,1835-07-27,卡斯特罗山谷,托斯卡纳（意大利）,,1907-02-16,博洛尼亚,意大利
1906,Medicine,医药,诺贝尔生理学或医学奖 1906 年,Camillo Golgi,1843-07-07,科尔特诺,意大利,帕维亚大学,1926-01-21,帕维亚,意大利
1906,Medicine,医药,诺贝尔生理学或医学奖 1906 年,Santiago Ramón y Cajal,1852-05-01,佩蒂利亚-德拉古,西班牙,马德里大学,1934-10-17,马德里,西班牙
1906,Peace,和平,1906 年诺贝尔和平奖,Theodore Roosevelt,1858-10-27,纽约州纽约市,美利坚合众国,,1919-01-06,纽约州牡蛎湾,美利坚合众国
1906,Physics,物理,1906 年诺贝尔物理学奖,Joseph John Thomson,1856-12-18,曼彻斯特附近的希瑟姆山,英国,剑桥大学,1940-08-30,剑桥,英国
1907,Chemistry,化学,1907 年诺贝尔化学奖,Eduard Buchner,1860-05-20,慕尼黑,巴伐利亚,农学院,1917-08-13,Focsani,罗马尼亚
1907,Literature,文学,1907 年诺贝尔文学奖,Rudyard Kipling,1865-12-30,孟买,英属印度,,1936-01-18,伦敦,英国
1907,Medicine,医药,诺贝尔生理学或医学奖 1907 年,Charles Louis Alphonse Laveran,1845-06-18,巴黎,法国,巴斯德研究所,1922-05-18,巴黎,法国
1907,Peace,和平,1907 年诺贝尔和平奖,Ernesto Teodoro Moneta,1833-09-20,米兰,奥地利帝国（意大利）,,1918-02-10,米兰,意大利
1907,Peace,和平,1907 年诺贝尔和平奖,Louis Renault,1843-05-21,Autun,法国,索邦大学,1918-02-08,巴比松,法国
1907,Physics,物理,1907 年诺贝尔物理学奖,Albert Abraham Michelson,1852-12-19,斯特雷尔诺,普鲁士（波兰）,芝加哥大学,1931-05-09,加利福尼亚州帕萨迪纳,美利坚合众国
1908,Chemistry,化学,1908 年诺贝尔化学奖,Ernest Rutherford,1871-08-30,纳尔逊,新西兰,维多利亚大学,1937-10-19,剑桥,英国
1908,Literature,文学,1908 年诺贝尔文学奖,Rudolf Christoph Eucken,1846-01-05,奥里希,东弗里斯兰（德国）,,1926-09-14,耶拿,德国
1908,Medicine,医药,诺贝尔生理学或医学奖 1908 年,Ilya Ilyich Mechnikov,1845-05-15,哈尔科夫（哈尔科夫）,俄罗斯帝国（乌克兰）,巴斯德研究所,1916-07-15,巴黎,法国
1908,Medicine,医药,诺贝尔生理学或医学奖 1908 年,Paul Ehrlich,1854-03-14,斯特雷伦（Strzelin）,普鲁士（波兰）,戈廷根大学,1915-08-20,巴特霍姆堡湖畔,德国
1908,Peace,和平,1908 年诺贝尔和平奖,Klas Pontus Arnoldson,1844-10-27,哥德堡,瑞典,,1916-02-20,斯德哥尔摩,瑞典
1908,Peace,和平,1908 年诺贝尔和平奖,Fredrik Bajer,1837-04-21,奈斯特韦德,丹麦,,1922-01-22,哥本哈根,丹麦
1908,Physics,物理,1908 年诺贝尔物理学奖,Gabriel Lippmann,1845-08-16,霍勒里希,卢森堡,索邦大学,1921-07-13,,
1909,Chemistry,化学,1909 年诺贝尔化学奖,Wilhelm Ostwald,1853-09-02,里加,俄罗斯帝国（拉脱维亚）,莱比锡大学,1932-04-04,莱比锡,德国
1909,Literature,文学,1909 年诺贝尔文学奖,Selma Ottilia Lovisa Lagerlöf,1858-11-20,松鸡山,瑞典,,1940-03-16,松鸡山,瑞典
1909,Medicine,医药,诺贝尔生理学或医学奖 1909 年,Emil Theodor Kocher,1841-08-25,伯尔尼,瑞士,伯尔尼大学,1917-07-27,伯尔尼,瑞士
1909,Peace,和平,1909 年诺贝尔和平奖,Auguste Marie François Beernaert,1829-07-26,奥斯坦德,比利时,,1912-10-06,卢塞恩,瑞士
1909,Peace,和平,1909 年诺贝尔和平奖,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,法国,,1924-05-15,巴黎,法国
1909,Physics,物理,1909 年诺贝尔物理学奖,Guglielmo Marconi,1874-04-25,博洛尼亚,意大利,马可尼无线电报有限公司马可尼无线电报有限公司,1937-07-20,罗马,意大利
1909,Physics,物理,1909 年诺贝尔物理学奖,Karl Ferdinand Braun,1850-06-06,富尔达,黑森-卡塞尔（德国）,斯特拉斯堡大学,1918-04-20,纽约布鲁克林,美利坚合众国
1910,Chemistry,化学,1910 年诺贝尔化学奖,Otto Wallach,1847-03-27,科尼希斯贝格（加里宁格勒）,德国（俄罗斯）,戈廷根大学,1931-02-26,哥廷根,德国
1910,Literature,文学,1910 年诺贝尔文学奖,Paul Johann Ludwig Heyse,1830-03-15,柏林,普鲁士,,1914-04-02,慕尼黑,德国
