query,answer
我需要了解1921年诺贝尔物理学奖得主的详细信息，包括获奖年份、类别、全名、出生和逝世信息，请帮我筛选出获奖年份为1921年、获奖类别（中文）为物理且全名包含Einstein的记录，并以Markdown表格呈现。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名             | 出生日期   | 出生城市 | 出生国家 | 逝世日期   | 逝世地点城市     | 逝世地点国家     |
|----------|------------------|------------------|------------|----------|----------|------------|------------------|------------------|
| 1921     | 物理             | Albert Einstein  | 1879-03-14 | 乌尔姆   | 德国     | 1955-04-18 | 新泽西州普林斯顿 | 美利坚合众国     |
```"
为了梳理法国文学家在诺贝尔文学奖历史上的早期成就，我需要分析1901至1969年间的获奖情况。请筛选出出生国家为法国且获得诺贝尔文学奖的获奖者信息，包括获奖年份、获奖类别（中文）、全名、出生城市和逝世地点国家，并以Markdown表格形式呈现。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名                     | 出生城市       | 逝世地点国家 |
|----------|------------------|--------------------------|----------------|--------------|
| 1904     | 文学             | Frédéric Mistral         | 马兰           | 法国         |
| 1915     | 文学             | Romain Rolland           | 克拉姆西       | 法国         |
| 1921     | 文学             | Anatole France           | 巴黎           | 法国         |
| 1927     | 文学             | Henri Bergson            | 巴黎           | 法国         |
| 1937     | 文学             | Roger Martin du Gard     | 塞纳河畔诺伊伊 | 法国         |
| 1947     | 文学             | André Paul Guillaume Gide| 巴黎           | 法国         |
```"
为了研究英国（含苏格兰）物理学家在剑桥大学的诺奖贡献，我需要筛选1901至1969年间，出生国家为英国或苏格兰，所属组织为剑桥大学的诺贝尔物理学奖得主。请列出获奖年份、获奖类别（中文）、全名、出生国家和所属组织。输出时用Markdown表格，中文表头明确。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名 | 出生国家 | 所属组织 |
| :--- | :--- | :--- | :--- | :--- |
| 1906 | 物理 | Joseph John Thomson | 英国 | 剑桥大学 |
| 1927 | 物理 | Charles Thomson Rees Wilson | 苏格兰 | 剑桥大学 |
| 1933 | 物理 | Paul Adrien Maurice Dirac | 英国 | 剑桥大学 |
```"
为研究二战后美国在物理学领域的诺贝尔奖竞争力，需梳理1940-1960年期间的相关获奖记录。请筛选出出生国家为美利坚合众国的物理学家获奖信息，包括获奖年份、获奖类别（中文）、全名、出生城市、所属组织，并以Markdown表格呈现，表头用中文。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名                  | 出生城市                | 所属组织          |
|----------|------------------|-----------------------|-------------------------|-------------------|
| 1946     | 物理             | Percy Williams Bridgman | 马萨诸塞州剑桥市        | 哈佛大学          |
| 1952     | 物理             | Edward Mills Purcell   | 伊利诺伊州泰勒维尔      | 哈佛大学          |
| 1955     | 物理             | Willis Eugene Lamb     | 加利福尼亚州洛杉矶      | 斯坦福大学        |
| 1956     | 物理             | John Bardeen           | 威斯康星州麦迪逊        | 伊利诺伊大学      |
| 1959     | 物理             | Owen Chamberlain       | 加利福尼亚州旧金山      | 加利福尼亚大学    |
| 1960     | 物理             | Donald Arthur Glaser   | 俄亥俄州克利夫兰        | 加利福尼亚大学    |
```"
我在研究20世纪50年代美国医药领域的诺贝尔奖获得情况，需要筛选出1950年至1959年间出生国家为美利坚合众国且获奖类别（中文）为'医药'的诺贝尔生理学或医学奖得主。请列出他们的获奖年份、获奖类别（中文）、全名及所属组织，并以Markdown表格形式呈现，包含明确的中文表头。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名                          | 所属组织                  |
|----------|------------------|-------------------------------|---------------------------|
| 1950     | 医药             | Edward Calvin Kendall         | 梅奥诊所                  |
| 1950     | 医药             | Philip Showalter Hench        | 梅奥诊所                  |
| 1954     | 医药             | John Franklin Enders          | 哈佛医学院                |
| 1954     | 医药             | Thomas Huckle Weller          | 儿童医学中心传染病研究部  |
| 1954     | 医药             | Frederick Chapman Robbins     | 西储大学                  |
| 1956     | 医药             | Dickinson W. Richards         | 哥伦比亚大学              |
| 1958     | 医药             | George Wells Beadle           | 加州理工学院（Caltech）  |
| 1958     | 医药             | Edward Lawrie Tatum           | 洛克菲勒医学研究所        |
| 1958     | 医药             | Joshua Lederberg              | 威斯康星大学              |
| 1959     | 医药             | Arthur Kornberg               | 斯坦福大学                |
```"
我需要分析1920-1930年间诺贝尔物理学奖的德国获奖者信息，用于学术研究中的科学家背景分析，请帮我筛选出这段时间内获奖类别为物理、出生国家为德国的获奖者，列出获奖年份、获奖类别（中文）、全名、出生城市、所属组织。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名                | 出生城市 | 所属组织                                 |
|----------|------------------|---------------------|----------|------------------------------------------|
| 1921     | 物理             | Albert Einstein     | 乌尔姆   | 德皇威廉物理研究所（现为马克斯-普朗克物理研究所 |
| 1925     | 物理             | James Franck        | 汉堡     | 戈廷根大学                               |
| 1925     | 物理             | Gustav Ludwig Hertz | 汉堡     | 哈雷大学                                 |
| 1932     | 物理             | Werner Karl Heisenberg | 维尔茨堡 | 莱比锡大学                               |
```"
我在研究20世纪30年代法国科学家在化学领域的诺奖成就，需要1935年诺贝尔化学奖中出生国家为法国的获奖者信息，包括获奖年份、获奖类别（中文）、全名、出生城市和所属组织，请以Markdown表格呈现。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名               | 出生城市 | 所属组织   |
|----------|------------------|--------------------|----------|------------|
| 1935     | 化学             | Frédéric Joliot    | 巴黎     | 镭研究所   |
| 1935     | 化学             | Irène Joliot-Curie | 巴黎     | 镭研究所   |
```"
为分析20世纪30年代法国在放射化学领域的诺奖贡献，我需要1930至1940年间获得诺贝尔化学奖、所属组织为镭研究所且出生国家为法国的获奖者信息。请列出他们的获奖年份、获奖类别（中文）、全名、出生日期和逝世日期。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名             | 出生日期   | 逝世日期   |
|----------|------------------|------------------|------------|------------|
| 1935     | 化学             | Frédéric Joliot  | 1900-03-19 | 1958-08-14 |
| 1935     | 化学             | Irène Joliot-Curie | 1897-09-12 | 1956-03-17 |
```"
我在进行早期诺贝尔和平奖与瑞士籍获奖者的关联性研究，需要获取1901至1902年间获得诺贝尔和平奖且出生国家为瑞士的获奖者详细信息。请帮我列出这些获奖者的获奖年份、全名、出生城市和逝世日期，并以Markdown表格形式呈现，表头使用中文。,"```markdown
| 获奖年份 | 全名               | 出生城市 | 逝世日期   |
|----------|--------------------|----------|------------|
| 1901     | Jean Henry Dunant  | 日内瓦   | 1910-10-30 |
| 1902     | Élie Ducommun      | 日内瓦   | 1906-12-07 |
| 1902     | Charles Albert Gobat | 特拉梅兰 | 1914-03-16 |
```"
我需要分析1920-1930年间德国出生的物理学家获得诺贝尔奖的情况，用于撰写关于德国早期物理研究的报告，请帮我筛选出这段时间内出生国家为德国、获奖类别（中文）为物理的获奖者，列出获奖年份、获奖类别（中文）、全名、出生城市和所属组织。,"```markdown
| 获奖年份 | 获奖类别（中文） | 全名                     | 出生城市 | 所属组织                                 |
|----------|------------------|--------------------------|----------|------------------------------------------|
| 1921     | 物理             | Albert Einstein          | 乌尔姆   | 德皇威廉物理研究所（现为马克斯-普朗克物理研究所 |
| 1925     | 物理             | James Franck             | 汉堡     | 戈廷根大学                               |
| 1925     | 物理             | Gustav Ludwig Hertz      | 汉堡     | 哈雷大学                                 |
| 1932     | 物理             | Werner Karl Heisenberg   | 维尔茨堡 | 莱比锡大学                               |
```"
